task_id,total_correct,total_trials,avg_confidence,difficulty,super_rule,sub_rule,mean_duration,accuracy
0,7,19,0.7157894736842105,1,expansion,star_step,5469.676842107288,0.3684210526315789
1,15,19,0.7684210526315789,1,expansion,star_step,5338.505789478362,0.7894736842105263
10,17,19,0.8842105263157896,2,attraction,color,4381.507894740388,0.8947368421052632
11,3,19,0.8421052631578947,3,attraction,size,4202.003157896008,0.15789473684210525
12,17,19,0.8894736842105262,1,attraction,gravity,3600.9852631623107,0.8947368421052632
13,10,19,0.7947368421052632,1,attraction,gravity,4520.103157896409,0.5263157894736842
14,11,19,0.7789473684210526,2,attraction,color,3960.712631579669,0.5789473684210527
15,18,19,0.868421052631579,2,attraction,color,3123.301052636516,0.9473684210526315
16,18,19,0.9052631578947368,2,attraction,color,3222.27842105843,0.9473684210526315
17,14,19,0.8157894736842105,1,attraction,gravity,3669.279473687475,0.7368421052631579
18,4,19,0.8368421052631579,3,attraction,size,2883.427894737599,0.21052631578947367
19,19,19,0.9,2,attraction,color,2430.9636842161985,1.0
2,13,19,0.7105263157894737,1,expansion,plus_full,6260.082631584065,0.6842105263157895
20,19,19,0.9210526315789473,2,occlusion,reversal,2805.1468421072273,1.0
21,18,19,0.9052631578947368,2,occlusion,reversal,3456.7678947422446,0.9473684210526315
22,15,19,0.7789473684210526,2,occlusion,mirror_x,4331.80000000118,0.7894736842105263
23,6,19,0.7947368421052632,3,occlusion,reversal,3673.5121052659924,0.3157894736842105
24,11,19,0.9,2,occlusion,reversal,2623.5415789498334,0.5789473684210527
25,16,19,0.9,2,occlusion,reversal,3421.051578950437,0.8421052631578947
26,14,19,0.9157894736842105,1,occlusion,mirror_y,6474.662105265483,0.7368421052631579
27,17,19,0.9368421052631579,2,occlusion,reversal,2922.975263162752,0.8947368421052632
28,12,19,0.9,3,occlusion,rotate_180,3023.1378947370363,0.631578947368421
29,16,19,0.863157894736842,2,occlusion,reversal,2567.207894740802,0.8421052631578947
3,16,19,0.7999999999999999,1,expansion,plus_full,4517.324736843994,0.8421052631578947
30,14,19,0.8263157894736842,1,arithmetic,majority,3189.470526316848,0.7368421052631579
31,14,19,0.8157894736842105,2,arithmetic,majority,4044.8563157926824,0.7368421052631579
32,15,19,0.7789473684210527,1,arithmetic,inversion,4600.864736845097,0.7894736842105263
33,15,19,0.8105263157894737,1,arithmetic,inversion,4249.65842105645,0.7894736842105263
34,12,19,0.8157894736842105,3,arithmetic,minority,2907.9757894801596,0.631578947368421
35,5,19,0.8473684210526317,2,arithmetic,minority,3674.8047368419266,0.2631578947368421
36,16,19,0.868421052631579,1,arithmetic,majority,3062.162105265294,0.8421052631578947
37,13,19,0.7789473684210526,3,arithmetic,majority,6738.0357894811405,0.6842105263157895
38,16,19,0.7947368421052632,1,arithmetic,majority,5213.436315791957,0.8421052631578947
39,13,19,0.8473684210526317,1,arithmetic,inversion,3306.2984210541595,0.6842105263157895
4,15,19,0.8052631578947368,1,expansion,plus_full,5309.44684210578,0.7894736842105263
5,18,19,0.8210526315789474,1,expansion,star_step,5538.824736844338,0.9473684210526315
6,8,19,0.7421052631578947,3,expansion,diagonal_full,5508.388421053458,0.42105263157894735
7,10,19,0.7631578947368421,1,expansion,plus_step,4442.148947372687,0.5263157894736842
8,18,19,0.8263157894736842,1,expansion,star_full,3948.298421059134,0.9473684210526315
9,7,19,0.7684210526315789,3,expansion,diagonal_full,5048.156842109941,0.3684210526315789
