block,block_type,mean_acc,std_acc,n,sem
1,application,0.6421052631578947,0.23644541177307293,19,0.054244297662246685
1,inference,0.6947368421052632,0.21466688460270072,19,0.049247960868835775
2,application,0.7684210526315789,0.13764944032233706,19,0.03157894736842105
2,inference,0.6105263157894737,0.20519567041703082,19,0.047075115315785045
3,application,0.7894736842105263,0.25362863675089403,19,0.05818639983079648
3,inference,0.7263157894736842,0.16613951721756792,19,0.038115019267369175
4,application,0.6631578947368421,0.24085617265586687,19,0.055256195607100426
4,inference,0.7368421052631579,0.25865147359974894,19,0.059338717632588626
