task_id,example_1,example_2,applies
10,attraction_color.t3.combined.png,attraction_color.t8.combined.png,y
11,attraction_size.t5.combined.png,attraction_size.t7.combined.png,n
12,attraction_gravity.t1.combined.png,attraction_gravity.t2.combined.png,n
13,attraction_gravity.t10.combined.png,attraction_gravity.t12.combined.png,y
14,attraction_color.t10.combined.png,attraction_color.t2.combined.png,n
